Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.151E+02 = <U> 
     mmp83 = radfield
 5.137E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.820E+02  1.682E-23  8.117E-14
1.803E+02  1.735E-23  8.298E-14
1.786E+02  1.790E-23  8.483E-14
1.770E+02  1.847E-23  8.672E-14
1.754E+02  1.905E-23  8.863E-14
1.738E+02  1.965E-23  9.058E-14
1.722E+02  2.027E-23  9.257E-14
1.706E+02  2.090E-23  9.459E-14
1.690E+02  2.155E-23  9.665E-14
1.675E+02  2.223E-23  9.875E-14
1.660E+02  2.292E-23  1.009E-13
1.644E+02  2.363E-23  1.031E-13
1.629E+02  2.436E-23  1.053E-13
1.614E+02  2.512E-23  1.076E-13
1.600E+02  2.589E-23  1.099E-13
1.585E+02  2.669E-23  1.122E-13
1.570E+02  2.752E-23  1.146E-13
1.556E+02  2.837E-23  1.171E-13
1.542E+02  2.925E-23  1.196E-13
1.528E+02  3.016E-23  1.222E-13
1.514E+02  3.109E-23  1.248E-13
1.500E+02  3.206E-23  1.275E-13
1.486E+02  3.305E-23  1.303E-13
1.472E+02  3.407E-23  1.331E-13
1.459E+02  3.512E-23  1.359E-13
1.445E+02  3.618E-23  1.387E-13
1.432E+02  3.726E-23  1.415E-13
1.419E+02  3.833E-23  1.443E-13
1.406E+02  3.940E-23  1.469E-13
1.393E+02  4.044E-23  1.494E-13
1.380E+02  4.145E-23  1.518E-13
1.368E+02  4.242E-23  1.539E-13
1.355E+02  4.338E-23  1.559E-13
1.343E+02  4.432E-23  1.579E-13
1.330E+02  4.526E-23  1.597E-13
1.318E+02  4.621E-23  1.616E-13
1.306E+02  4.717E-23  1.634E-13
1.294E+02  4.816E-23  1.653E-13
1.282E+02  4.918E-23  1.673E-13
1.271E+02  5.022E-23  1.692E-13
1.259E+02  5.128E-23  1.713E-13
1.247E+02  5.238E-23  1.733E-13
1.236E+02  5.351E-23  1.754E-13
